Answer,ID,question#,number,question
Risk,var21,Q6,1) 1/67(0.015),"State Farm Insurance Company says that a random Pennsylvania driver has a 1 in 67 chance of hitting a deer this year, making it the third worst state for car-deer collisions. The number one state for this type of accident is West Virginia where a random driver has a 1 in 41 chance of hitting a deer this year. Thus, the proportion of drivers that hit deer in West Virginia is 43% higher than in Pennsylvania."
Increased Risk,var22,Q6,2) 43%,"State Farm Insurance Company says that a random Pennsylvania driver has a 1 in 67 chance of hitting a deer this year, making it the third worst state for car-deer collisions. The number one state for this type of accident is West Virginia where a random driver has a 1 in 41 chance of hitting a deer this year. Thus, the proportion of drivers that hit deer in West Virginia is 43% higher than in Pennsylvania."
Relative Risk,var23,Q6,3) 67/41,"State Farm Insurance Company says that a random Pennsylvania driver has a 1 in 67 chance of hitting a deer this year, making it the third worst state for car-deer collisions. The number one state for this type of accident is West Virginia where a random driver has a 1 in 41 chance of hitting a deer this year. Thus, the proportion of drivers that hit deer in West Virginia is 43% higher than in Pennsylvania."
Odds,var24,Q6,4) 40 to 1,"State Farm Insurance Company says that a random Pennsylvania driver has a 1 in 67 chance of hitting a deer this year, making it the third worst state for car-deer collisions. The number one state for this type of accident is West Virginia where a random driver has a 1 in 41 chance of hitting a deer this year. Thus, the proportion of drivers that hit deer in West Virginia is 43% higher than in Pennsylvania."
Risk,var25,Q7,1) 0.017,The chance that a letter is lost in the mail is estimated by the Postal Service to be 1.7%. People often complain that personal letters seem to get lost at ten times the rate of bills. It is because of unreadable handwritten addresses while bills are printed in clear fonts.
Probability,var26,Q7,2) 0.983,The chance that a letter is lost in the mail is estimated by the Postal Service to be 1.7%. People often complain that personal letters seem to get lost at ten times the rate of bills. It is because of unreadable handwritten addresses while bills are printed in clear fonts.
Relative Risk,var27,Q7,3) 10,The chance that a letter is lost in the mail is estimated by the Postal Service to be 1.7%. People often complain that personal letters seem to get lost at ten times the rate of bills. It is because of unreadable handwritten addresses while bills are printed in clear fonts.
Odds,var28,Q7,4) 0.983/0.017,The chance that a letter is lost in the mail is estimated by the Postal Service to be 1.7%. People often complain that personal letters seem to get lost at ten times the rate of bills. It is because of unreadable handwritten addresses while bills are printed in clear fonts.
Risk,var29,Q8,1) 0.82,"The International Tanker Owners Pollution Federation (ITOPF) keeps track of oil spills from tankers that are greater than 7 metric tons. The ITOPF data indicate that the chance of at least one major oil tanker spill (greater than 700 metric tons) somewhere in the world next year is about 82%. Of course, the chance of any individual tanker having an accident is very low and small spills (between 7 and 700 metric tons) are four times as likely as major spills."
Relative Risk,var30,Q8,2) 4,"The International Tanker Owners Pollution Federation (ITOPF) keeps track of oil spills from tankers that are greater than 7 metric tons. The ITOPF data indicate that the chance of at least one major oil tanker spill (greater than 700 metric tons) somewhere in the world next year is about 82%. Of course, the chance of any individual tanker having an accident is very low and small spills (between 7 and 700 metric tons) are four times as likely as major spills."
Probability,var31,Q8,3) 0.18,"The International Tanker Owners Pollution Federation (ITOPF) keeps track of oil spills from tankers that are greater than 7 metric tons. The ITOPF data indicate that the chance of at least one major oil tanker spill (greater than 700 metric tons) somewhere in the world next year is about 82%. Of course, the chance of any individual tanker having an accident is very low and small spills (between 7 and 700 metric tons) are four times as likely as major spills."
Odds,var32,Q8,4) 0.82/0.18,"The International Tanker Owners Pollution Federation (ITOPF) keeps track of oil spills from tankers that are greater than 7 metric tons. The ITOPF data indicate that the chance of at least one major oil tanker spill (greater than 700 metric tons) somewhere in the world next year is about 82%. Of course, the chance of any individual tanker having an accident is very low and small spills (between 7 and 700 metric tons) are four times as likely as major spills."
Odds,var33,Q9,1) 2 to 1,"The National Diabetes Statistics Report for 2017 indicates that 25% of Americans over 65 years old have diabetes including 1 out of 6 of those people who have diabetes but do not know that they have. On the other hand, only 4% of adults between 18 and 44 have diabetes but 1/3 of that group do not know they have it."
Odds,var34,Q9,2) 5 to 1,"The National Diabetes Statistics Report for 2017 indicates that 25% of Americans over 65 years old have diabetes including 1 out of 6 of those people who have diabetes but do not know that they have. On the other hand, only 4% of adults between 18 and 44 have diabetes but 1/3 of that group do not know they have it."
Odds Ratio,var35,Q9,3) 5/2 (2.5),"The National Diabetes Statistics Report for 2017 indicates that 25% of Americans over 65 years old have diabetes including 1 out of 6 of those people who have diabetes but do not know that they have. On the other hand, only 4% of adults between 18 and 44 have diabetes but 1/3 of that group do not know they have it."
Relative Risk,var36,Q9,4) 25/4 (6.25),"The National Diabetes Statistics Report for 2017 indicates that 25% of Americans over 65 years old have diabetes including 1 out of 6 of those people who have diabetes but do not know that they have. On the other hand, only 4% of adults between 18 and 44 have diabetes but 1/3 of that group do not know they have it."
Risk,var37,Q10,1) 7%,"According to the Bureau of Justice Statistics, about 7% of people over 16 years old will experience some type of identity theft in a given year, which includes 1% of people over 16 who suffer a monetary loss due to identity theft."
Risk,var38,Q10,2) 1 out of 7,"According to the Bureau of Justice Statistics, about 7% of people over 16 years old will experience some type of identity theft in a given year, which includes 1% of people over 16 who suffer a monetary loss due to identity theft."
Odds,var39,Q10,3) 6 to 1,"According to the Bureau of Justice Statistics, about 7% of people over 16 years old will experience some type of identity theft in a given year, which includes 1% of people over 16 who suffer a monetary loss due to identity theft."
Probability,var40,Q10,4) 0.93,"According to the Bureau of Justice Statistics, about 7% of people over 16 years old will experience some type of identity theft in a given year, which includes 1% of people over 16 who suffer a monetary loss due to identity theft."
Odds,var41,Q11,1) 0.115 to 1 (0.103/0.897),The Australian Melanoma study found that 10.3% of people with melanoma skin cancer had used a tanning bed more than 10 times in their life compared with only 5.6% of people of similar aged people without skin cancer.
Odds,var42,Q11,2) 0.059 to 1 (0.056/0.944),The Australian Melanoma study found that 10.3% of people with melanoma skin cancer had used a tanning bed more than 10 times in their life compared with only 5.6% of people of similar aged people without skin cancer.
Odds Ratio,var43,Q11,3) 0.115/0.059,The Australian Melanoma study found that 10.3% of people with melanoma skin cancer had used a tanning bed more than 10 times in their life compared with only 5.6% of people of similar aged people without skin cancer.
Probability,var44,Q11,4) 0.103,The Australian Melanoma study found that 10.3% of people with melanoma skin cancer had used a tanning bed more than 10 times in their life compared with only 5.6% of people of similar aged people without skin cancer.
Risk,var45,Q12,1) 0.17,"A recent experiment found that 54 of 317 subjects (17%) randomly assigned to take aspirin on a daily basis developed polyps in their colon, compared to 86 of 318 of subjects (27%) who took a placebo."
Odds,var46,Q12,2) 0.2 to 1 (0.17/0.83),"A recent experiment found that 54 of 317 subjects (17%) randomly assigned to take aspirin on a daily basis developed polyps in their colon, compared to 86 of 318 of subjects (27%) who took a placebo."
Relative Risk,var47,Q12,3) 0.27/0.17,"A recent experiment found that 54 of 317 subjects (17%) randomly assigned to take aspirin on a daily basis developed polyps in their colon, compared to 86 of 318 of subjects (27%) who took a placebo."
Odds Ratio,var48,Q12,4) (0.27*0.83)/(0.17*0.73),"A recent experiment found that 54 of 317 subjects (17%) randomly assigned to take aspirin on a daily basis developed polyps in their colon, compared to 86 of 318 of subjects (27%) who took a placebo."
Risk,var49,Q13,1) 0.053,"Sometimes, during surgery for Hodgkins disease, patients also undergo an appendectomy. It turns out that about 5.3% of patients that have the appendectomy end up with an infection in their wounds, compared with only 1.3% of patients who don`t require having an appendectomy. This is a serious concern because, at one hospital, nearly 38% of patients have such appendectomies during their Hodgkins disease treatments."
Risk,var50,Q13,2) 0.013,"Sometimes, during surgery for Hodgkins disease, patients also undergo an appendectomy. It turns out that about 5.3% of patients that have the appendectomy end up with an infection in their wounds, compared with only 1.3% of patients who don`t require having an appendectomy. This is a serious concern because, at one hospital, nearly 38% of patients have such appendectomies during their Hodgkins disease treatments."
Relative Risk,var51,Q13,3) 0.053/0.013,"Sometimes, during surgery for Hodgkins disease, patients also undergo an appendectomy. It turns out that about 5.3% of patients that have the appendectomy end up with an infection in their wounds, compared with only 1.3% of patients who don`t require having an appendectomy. This is a serious concern because, at one hospital, nearly 38% of patients have such appendectomies during their Hodgkins disease treatments."
Odds,var52,Q13,4) 1.63 to 1 (0.62/0.38),"Sometimes, during surgery for Hodgkins disease, patients also undergo an appendectomy. It turns out that about 5.3% of patients that have the appendectomy end up with an infection in their wounds, compared with only 1.3% of patients who don`t require having an appendectomy. This is a serious concern because, at one hospital, nearly 38% of patients have such appendectomies during their Hodgkins disease treatments."
Probability,var53,Q14,1) 0.61,"According to the National  Highway Traffic Safety Administration, 61% of motorcyclists wear a helmet and 39% do not. Not wearing helmets may contribute to the high rate of fatalities, about 50 for every 100,000 registered motorcycles compared with only 9 for every 100,000 registered cars in the United States."
Risk,var54,Q14,2) 50/100000,"According to the National  Highway Traffic Safety Administration, 61% of motorcyclists wear a helmet and 39% do not. Not wearing helmets may contribute to the high rate of fatalities, about 50 for every 100,000 registered motorcycles compared with only 9 for every 100,000 registered cars in the United States."
Relative Risk,var55,Q14,3) 50/9,"According to the National  Highway Traffic Safety Administration, 61% of motorcyclists wear a helmet and 39% do not. Not wearing helmets may contribute to the high rate of fatalities, about 50 for every 100,000 registered motorcycles compared with only 9 for every 100,000 registered cars in the United States."
Odds,var56,Q14,4) 1.564 to 1 (61/39),"According to the National  Highway Traffic Safety Administration, 61% of motorcyclists wear a helmet and 39% do not. Not wearing helmets may contribute to the high rate of fatalities, about 50 for every 100,000 registered motorcycles compared with only 9 for every 100,000 registered cars in the United States."
Risk,var57,Q15,1) 0.25,"Obstructive Sleep apnea (OSA) is a condition where people stop breathing for a brief period of time during sleep. It is quite common. In fact, OSA affects approximately 25% of adults and about 45% of adults who are obese (BMI > 30)."
Relative Risk,var58,Q15,2) 45/25,"Obstructive Sleep apnea (OSA) is a condition where people stop breathing for a brief period of time during sleep. It is quite common. In fact, OSA affects approximately 25% of adults and about 45% of adults who are obese (BMI > 30)."
Odds,var59,Q15,3) 3 to 1 (0.75/0.25),"Obstructive Sleep apnea (OSA) is a condition where people stop breathing for a brief period of time during sleep. It is quite common. In fact, OSA affects approximately 25% of adults and about 45% of adults who are obese (BMI > 30)."
Odds Ratio,var60,Q15,4) (0.75*0.45)/(0.25*0.55),"Obstructive Sleep apnea (OSA) is a condition where people stop breathing for a brief period of time during sleep. It is quite common. In fact, OSA affects approximately 25% of adults and about 45% of adults who are obese (BMI > 30)."
